Month,Day,Riders
2017-01-01,SAT.,2070
2017-01-01,SUN.,1115
2017-01-01,WEEKDAY,3736
2017-02-01,SAT.,2019
2017-02-01,SUN.,1478
2017-02-01,WEEKDAY,3971
2017-03-01,SAT.,1888
2017-03-01,SUN.,1238
2017-03-01,WEEKDAY,3910
2017-04-01,SAT.,2175
2017-04-01,SUN.,1529
2017-04-01,WEEKDAY,3863
2017-05-01,SAT.,2168
2017-05-01,SUN.,1495
2017-05-01,WEEKDAY,3985
2017-06-01,SAT.,2244
2017-06-01,SUN.,1525
2017-06-01,WEEKDAY,3909
2017-07-01,SAT.,2113
2017-07-01,SUN.,1557
2017-07-01,WEEKDAY,3940
2017-08-01,SAT.,2330
2017-08-01,SUN.,1454
2017-08-01,WEEKDAY,3878
2017-09-01,SAT.,2251
2017-09-01,SUN.,1571
2017-09-01,WEEKDAY,4103
2017-10-01,SAT.,2354
2017-10-01,SUN.,1516
2017-10-01,WEEKDAY,4060
2017-11-01,SAT.,1676
2017-11-01,SUN.,1216
2017-11-01,WEEKDAY,3890
2017-12-01,SAT.,2098
2017-12-01,SUN.,1298
2017-12-01,WEEKDAY,3694
2018-01-01,SAT.,1837
2018-01-01,SUN.,1313
2018-01-01,WEEKDAY,3632
2018-02-01,SAT.,2157
2018-02-01,SUN.,1515
2018-02-01,WEEKDAY,4021
2018-03-01,SAT.,1924
2018-03-01,SUN.,1234
2018-03-01,WEEKDAY,3869
2018-04-01,SAT.,2252
2018-04-01,SUN.,1556
2018-04-01,WEEKDAY,4089
2018-05-01,SAT.,2324
2018-05-01,SUN.,1564
2018-05-01,WEEKDAY,4119
2018-06-01,SAT.,2157
2018-06-01,SUN.,1299
2018-06-01,WEEKDAY,3881
2018-07-01,SAT.,2254
2018-07-01,SUN.,1476
2018-07-01,WEEKDAY,3927
2018-08-01,SAT.,2256
2018-08-01,SUN.,1612
2018-08-01,WEEKDAY,3968
2018-09-01,SAT.,2217
2018-09-01,SUN.,1356
2018-09-01,WEEKDAY,4209
2018-10-01,SAT.,2117
2018-10-01,SUN.,1719
2018-10-01,WEEKDAY,4423
2018-11-01,SAT.,1837
2018-11-01,SUN.,1170
2018-11-01,WEEKDAY,3897
2018-12-01,SAT.,2201
2018-12-01,SUN.,1471
2018-12-01,WEEKDAY,3744
2019-01-01,SAT.,2146
2019-01-01,SUN.,1312
2019-01-01,WEEKDAY,3557
2019-02-01,SAT.,2104
2019-02-01,SUN.,1434
2019-02-01,WEEKDAY,3808
2019-03-01,SAT.,2088
2019-03-01,SUN.,1265
2019-03-01,WEEKDAY,3770
2019-04-01,SAT.,2290
2019-04-01,SUN.,1459
2019-04-01,WEEKDAY,3796
2019-05-01,SAT.,2376
2019-05-01,SUN.,1511
2019-05-01,WEEKDAY,3933
2019-06-01,SAT.,2225
2019-06-01,SUN.,1420
2019-06-01,WEEKDAY,3729
2019-07-01,SAT.,2209
2019-07-01,SUN.,1604
2019-07-01,WEEKDAY,3864
2019-08-01,SAT.,2315
2019-08-01,SUN.,1581
2019-08-01,WEEKDAY,3845
2019-09-01,SAT.,2343
2019-09-01,SUN.,1600
2019-09-01,WEEKDAY,4128
2019-10-01,SAT.,2246
2019-10-01,SUN.,1496
2019-10-01,WEEKDAY,4086
2019-11-01,SAT.,2161
2019-11-01,SUN.,1807
2019-11-01,WEEKDAY,3836
2019-12-01,SAT.,1940
2019-12-01,SUN.,1378
2019-12-01,WEEKDAY,3617
2020-01-01,SAT.,2038
2020-01-01,SUN.,1295
2020-01-01,WEEKDAY,3759
2020-02-01,SAT.,2007
2020-02-01,SUN.,1344
2020-02-01,WEEKDAY,3818
2020-03-01,SAT.,1402
2020-03-01,SUN.,1093
2020-03-01,WEEKDAY,2633
2020-04-01,SAT.,1342
2020-04-01,SUN.,869
2020-04-01,WEEKDAY,1139
2020-05-01,SAT.,1602
2020-05-01,SUN.,1118
2020-05-01,WEEKDAY,1712
2020-06-01,SAT.,1480
2020-06-01,SUN.,1094
2020-06-01,WEEKDAY,2182
2020-07-01,SAT.,1188
2020-07-01,SUN.,873
2020-07-01,WEEKDAY,1822
2020-08-01,SAT.,1158
2020-08-01,SUN.,875
2020-08-01,WEEKDAY,1816
2020-09-01,SAT.,1259
2020-09-01,SUN.,856
2020-09-01,WEEKDAY,1836
2020-10-01,SAT.,1192
2020-10-01,SUN.,828
2020-10-01,WEEKDAY,1780
